Source,Sport,Player ID,Player Name,Position,Team,Stat Type,Line Score,Adjusted Odds,Implied Probability,Date,Start Time (CST),Status,League,Odds Type,Headshot URL,Data ID,Average Line,Average No-Vig Over %,Average No-Vig Under %,Percent Difference,Max No-Vig %,Bet Tag,Player Image,Game Start Time,Fav,Spread,O/U,Game Short Title,Scheduled At,Match Progress,Venue Name,Venue Type,Broadcasts,Max No-Vig % Price,True Price,Date,True Point Average Line,EST. Return Date,Injury Status,Comment,Starter,Opp,PrizePicks,Opportunities,Edge % Over,Edge % Under,Edge %,DvP Projection,DVP Rank,Opp +/-,DVP Bet,Average Projected,DVP Adjusted,Total Projection,Underdog Line,Callout Bet Tag
PrizePicks,MLB,233407,Gleyber Torres,IF,DET,Hitter Fantasy Score,5.5,N/A,N/A,8/15/2026,5:46:36 AM,pre_game,MLB,standard,https://static.prizepicks.com/images/players/MLB/Gleyber_Torres_MLB_player_b1eZdNNzVgo5E5NtEPbqDT5E-450.webp,13785550,,,,,,Over,,2026-08-15T17:10:00Z,Yes,-1.5,7.8,White Sox @ Tigers,2026-08-15T17:10:00Z,Sat 01:10pm,Comerica Park,outdoor,,,,,5.890,,,,No,CWS,5.89,2.58,50.608232,49.391768,50.608232,5.89,23,-0.01471,under,5.78,5.875294,5.82,6.08,Great Bet
PrizePicks,MLB,191208,Dillon Dingler,C,DET,Hitter Fantasy Score,5.5,N/A,N/A,8/15/2026,5:46:36 AM,pre_game,MLB,standard,https://static.prizepicks.com/images/players/MLB/Francis_Dingler_MLB_player_mVau03uxSwBdvCsJlJSOMSn1-450.webp,13785568,,,,,,Over,,2026-08-15T17:10:00Z,Yes,-1.5,7.8,White Sox @ Tigers,2026-08-15T17:10:00Z,Sat 01:10pm,Comerica Park,outdoor,,,,,6.590,,,,No,CWS,6.59,2.92,52.39842571,47.60157429,52.39842571,6.59,23,-0.01664,under,7.45,6.573356,6.48,6.27,Great Bet
PrizePicks,MLB,244978,Colson Montgomery,IF,CWS,Hitter Fantasy Score,5,N/A,N/A,8/15/2026,5:46:36 AM,pre_game,MLB,standard,https://static.prizepicks.com/images/players/MLB/Colson_Montgomery_MLB_player_j4GCQ0xCS1DuWlq2jQyc285-450.webp,13785529,,,,,,Under,,2026-08-15T17:10:00Z,No,1.5,7.8,White Sox @ Tigers,2026-08-15T17:10:00Z,Sat 01:10pm,Comerica Park,outdoor,,,,,4.690,,,,No,CHWDET,4.69,2.17,47.16372965,52.83627035,47.16372965,4.69,,0,,4.86,,4.85,-0.29,Push
PrizePicks,MLB,235491,Chase Meidroth,IF,CWS,Hitter Fantasy Score,5,N/A,N/A,8/15/2026,5:46:36 AM,pre_game,MLB,standard,https://static.prizepicks.com/images/players/MLB/Chase_Meidroth_MLB_player_3aJAUSt5N14MCI2tnJjUQKgl-450.webp,13785541,,,,,,Under,,2026-08-15T17:10:00Z,No,1.5,7.8,White Sox @ Tigers,2026-08-15T17:10:00Z,Sat 01:10pm,Comerica Park,outdoor,,,,,4.620,,,,No,CHWDET,4.62,1.98,46.96156595,53.03843405,46.96156595,4.62,,0,,4.42,,4.68,-0.23,Push
PrizePicks,MLB,68434,Spencer Torkelson,IF,DET,Hitter Fantasy Score,5,N/A,N/A,8/15/2026,5:46:36 AM,pre_game,MLB,standard,https://static.prizepicks.com/images/players/MLB/Spencer_Torkelson_MLB_player_TqH00BJfzWjKPIVJLtWXHNMc-450.webp,13785547,,,,,,Over,,2026-08-15T17:10:00Z,Yes,-1.5,7.8,White Sox @ Tigers,2026-08-15T17:10:00Z,Sat 01:10pm,Comerica Park,outdoor,,,,,5.920,,,,No,CWS,5.92,2.67,50.68977325,49.31022675,50.68977325,5.92,23,-0.01522,under,6.01,5.904781,5.79,6.14,Great Bet
PrizePicks,MLB,309859,Kevin McGonigle,IF,DET,Hitter Fantasy Score,5,N/A,N/A,8/15/2026,5:46:36 AM,pre_game,MLB,standard,https://static.prizepicks.com/images/manual/McGonigle.png,13785562,,,,,,Over,,2026-08-15T17:10:00Z,Yes,-1.5,7.8,White Sox @ Tigers,2026-08-15T17:10:00Z,Sat 01:10pm,Comerica Park,outdoor,,,,,5.790,,,,No,CWS,5.79,2.34,50.33380352,49.66619648,50.33380352,5.79,23,-0.01334,under,5.73,5.776662,5.7,6.22,Great Bet
PrizePicks,MLB,127166,Andrew Benintendi,DH,CWS,Hitter Fantasy Score,5,N/A,N/A,8/15/2026,5:46:36 AM,pre_game,MLB,standard,https://static.prizepicks.com/images/players/MLB/Andrew_Benintendi_MLB_player_gS0XOOhPqt5xrsBUNxHk03Qx-450.webp,13785571,,,,,,Under,,2026-08-15T17:10:00Z,No,1.5,7.8,White Sox @ Tigers,2026-08-15T17:10:00Z,Sat 01:10pm,Comerica Park,outdoor,,,,,4.970,,,,No,CHWDET,4.97,2.6,47.97959137,52.02040863,47.97959137,4.97,,0,,5.93,,5.3,-0.18,Push
PrizePicks,MLB,331055,Brenton Doyle,OF,CWS,Hitter Fantasy Score,4.5,N/A,N/A,8/15/2026,5:46:36 AM,pre_game,MLB,standard,https://static.prizepicks.com/images/manual/Brenton Doyle.png,13785532,,,,,,Push,,2026-08-15T17:10:00Z,No,1.5,7.8,White Sox @ Tigers,2026-08-15T17:10:00Z,Sat 01:10pm,Comerica Park,outdoor,,,,,,,,,No,,,3.5,,,,0,,0,,7,,5.75,0,Push
PrizePicks,MLB,314332,Hao-Yu Lee,IF,DET,Hitter Fantasy Score,4.5,N/A,N/A,8/15/2026,5:46:36 AM,pre_game,MLB,standard,https://static.prizepicks.com/images/players/MLB/Hao-Yu_Lee_MLB_player_ONUIjTJa25Ie4bRMnkOkdIMT-450.webp,13785538,,,,,,Push,,2026-08-15T17:10:00Z,Yes,-1.5,7.8,White Sox @ Tigers,2026-08-15T17:10:00Z,Sat 01:10pm,Comerica Park,outdoor,,,,,,,,,No,,,3.5,,,,5.5,,0,,7,,5.63,5.5,Push
PrizePicks,MLB,309111,Munetaka Murakami,IF,CWS,Hitter Fantasy Score,4.5,N/A,N/A,8/15/2026,5:46:36 AM,pre_game,MLB,standard,https://static.prizepicks.com/images/manual/Munetaka_Murakami.png,13785544,,,,,,Over,,2026-08-15T17:10:00Z,No,1.5,7.8,White Sox @ Tigers,2026-08-15T17:10:00Z,Sat 01:10pm,Comerica Park,outdoor,,,,,6.710,,,,No,CHWDET,6.71,3.29,54.98120671,45.01879329,54.98120671,6.71,,0,,9.87,,6.81,6.15,Great Bet
