Source,Sport,Player ID,Player Name,Position,Team,Stat Type,Line Score,Adjusted Odds,Implied Probability,Date,Start Time (CST),Status,League,Odds Type,Headshot URL,Data ID,Average Line,Average No-Vig Over %,Average No-Vig Under %,Percent Difference,Max No-Vig %,Bet Tag,Player Image,Game Start Time,Fav,Spread,O/U,Game Short Title,Scheduled At,Match Progress,Venue Name,Venue Type,Broadcasts,Max No-Vig % Price,True Price,Date,True Point Average Line,EST. Return Date,Injury Status,Comment,Starter,Opp,PrizePicks,Opportunities,Edge % Over,Edge % Under,Edge %,DvP Projection,DVP Rank,Opp +/-,DVP Bet,Average Projected,DVP Adjusted,Total Projection,PrizePicks Line,Callout Bet Tag
Underdog,MLB,,Kyle Stowers,1B,,Doubles,0.5,,,7/30/2026,7/30/2026,pre_game,MLB,standard,https://assets.underdogfantasy.com/player-images/mlb/20260323_23-8b18ec16-c092-464c-b001-1b3028641eb6.png,,0.5,17.16,82.84,-5.67,82.84,Under,https://www.freeiconspng.com/img/1934,,Yes,-1.40,8.5,Marlins @ Mets,2026-07-30T23:10:00Z,Thu 07:10pm,Citi Field,outdoor,,-483.00,-483,7/30/2026,0.1716,,,,No,,,3.5,28.52339553,71.48,28.52339553,0.17,,0,,0.17,,0.28,0.5,Push
Underdog,MLB,,Bo Bichette,3B,,Hits + Runs + RBIs,1.5,,,7/30/2026,7/30/2026,pre_game,MLB,standard,https://assets.underdogfantasy.com/player-images/mlb/20260324_02-88344347-d02f-4bb0-ab54-81f26f13e5b1.png,,1.5,49.05,50.95,-6.86,50.95,Under,https://www.freeiconspng.com/img/1934,,Yes,-1.40,8.5,Marlins @ Mets,2026-07-30T23:10:00Z,Thu 07:10pm,Citi Field,outdoor,,-104.00,-104,7/30/2026,1.4715,,,,No,,,3.5,43.25909156,56.74,43.25909156,1.47,,0,,1.47,,1.47,0,Push
Underdog,MLB,,Bo Bichette,3B,,Home Runs,0.5,,,7/30/2026,7/30/2026,pre_game,MLB,standard,https://assets.underdogfantasy.com/player-images/mlb/20260324_02-88344347-d02f-4bb0-ab54-81f26f13e5b1.png,,0.5,12.22,87.78,-1.5,87.78,Under,https://www.freeiconspng.com/img/1934,,Yes,-1.40,8.5,Marlins @ Mets,2026-07-30T23:10:00Z,Thu 07:10pm,Citi Field,outdoor,,-718.00,-718,7/30/2026,0.1222,,,,No,,,3.5,26.73593919,73.26,26.73593919,0.12,,0,,0.12,,0.25,0.5,Push
Underdog,MLB,,Bo Bichette,3B,,Total Bases,1.5,,,7/30/2026,7/30/2026,pre_game,MLB,standard,https://assets.underdogfantasy.com/player-images/mlb/20260324_02-88344347-d02f-4bb0-ab54-81f26f13e5b1.png,,1.5,39.77,60.23,-4.06,60.23,Under,https://www.freeiconspng.com/img/1934,,Yes,-1.40,8.5,Marlins @ Mets,2026-07-30T23:10:00Z,Thu 07:10pm,Citi Field,outdoor,,-151.00,-151,7/30/2026,1.1931,,,,No,,,3.5,20.80293665,79.20,20.80293665,1.19,,0,,1.19,,0.96,0.5,Push
Underdog,MLB,,Bo Bichette,3B,,Hitter Fantasy Score,5.5,,,7/30/2026,7/30/2026,pre_game,MLB,standard,https://assets.underdogfantasy.com/player-images/mlb/20260324_02-88344347-d02f-4bb0-ab54-81f26f13e5b1.png,,,,,,,,,,,,,Marlins @ Mets,2026-07-30T23:10:00Z,7/30/2026,Citi Field,outdoor,,,,,,,,,No,,,3.5,,,,0.00,,0,,6.44,,4.47,2.5,Push
Underdog,MLB,,Bo Bichette,3B,,Hits,0.5,,,7/30/2026,7/30/2026,pre_game,MLB,standard,https://assets.underdogfantasy.com/player-images/mlb/20260324_02-88344347-d02f-4bb0-ab54-81f26f13e5b1.png,,0.5,65.61,34.39,-1.5,65.61,Over,https://www.freeiconspng.com/img/1934,,Yes,-1.40,8.5,Marlins @ Mets,2026-07-30T23:10:00Z,Thu 07:10pm,Citi Field,outdoor,,-191.00,-191,7/30/2026,0.6561,,,,No,,,3.5,43.90087664,56.10,43.90087664,0.66,,0,,0.66,,0.6,0.5,Good Bet
Underdog,MLB,,Bo Bichette,3B,,Runs,0.5,,,7/30/2026,7/30/2026,pre_game,MLB,standard,https://assets.underdogfantasy.com/player-images/mlb/20260324_02-88344347-d02f-4bb0-ab54-81f26f13e5b1.png,,0.5,36.16,63.84,-1.07,63.84,Under,https://www.freeiconspng.com/img/1934,,Yes,-1.40,8.5,Marlins @ Mets,2026-07-30T23:10:00Z,Thu 07:10pm,Citi Field,outdoor,,-177.00,7/6/1899,7/30/2026,0.3616,,,,No,,,3.5,35.00111044,65.00,35.00111044,0.36,,0,,0.36,,0.41,0.5,Push
Underdog,MLB,,Bo Bichette,3B,,RBIs,0.5,,,7/30/2026,7/30/2026,pre_game,MLB,standard,https://assets.underdogfantasy.com/player-images/mlb/20260324_02-88344347-d02f-4bb0-ab54-81f26f13e5b1.png,,0.5,31.92,68.08,-5.95,68.08,Under,https://www.freeiconspng.com/img/1934,,Yes,-1.40,8.5,Marlins @ Mets,2026-07-30T23:10:00Z,Thu 07:10pm,Citi Field,outdoor,,-213.00,-213,7/30/2026,0.3192,,,,No,,,3.5,33.60842367,66.39,33.60842367,0.32,,0,,0.32,,0.38,0.5,Push
Underdog,MLB,,Bo Bichette,3B,,Singles,0.5,,,7/30/2026,7/30/2026,pre_game,MLB,standard,https://assets.underdogfantasy.com/player-images/mlb/20260324_02-88344347-d02f-4bb0-ab54-81f26f13e5b1.png,,0.5,51.52,48.48,-9.33,51.52,Over,https://www.freeiconspng.com/img/1934,,Yes,-1.40,8.5,Marlins @ Mets,2026-07-30T23:10:00Z,Thu 07:10pm,Citi Field,outdoor,,-106.00,-106,7/30/2026,0.5152,,,,No,,,3.5,39.8061501,60.19,39.8061501,0.52,,0,,0.52,,0.51,0.5,Good Bet
Underdog,MLB,,Bo Bichette,3B,,Batter Strikeouts,0.5,,,7/30/2026,7/30/2026,pre_game,MLB,standard,https://assets.underdogfantasy.com/player-images/mlb/20260324_02-88344347-d02f-4bb0-ab54-81f26f13e5b1.png,,0.5,58.06,41.94,-3.48,58.06,Over,https://www.freeiconspng.com/img/1934,,Yes,-1.40,8.5,Marlins @ Mets,2026-07-30T23:10:00Z,Thu 07:10pm,Citi Field,outdoor,,-138.00,-138,7/30/2026,0.5806,,,,No,,,3.5,44.04374717,55.96,44.04374717,0.58,,0,,0.58,,0.58,0,Great Bet
